model	task	prompting	request_type	limit	batch_size	batch_size_requested	device	dtype	requests	identical	max_abs_diff	wall_seconds	verdict
mistralai/Mistral-7B-v0.3	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	250	PASS
unsloth/Meta-Llama-3.1-8B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	280	PASS
unsloth/gemma-2-2b	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	249	PASS
Qwen/Qwen3-0.6B	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	112	PASS
Qwen/Qwen3-1.7B	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	144	PASS
Qwen/Qwen3-4B	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	201	PASS
Qwen/Qwen3-8B	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	318	PASS
allenai/OLMo-2-1124-7B	boolq	direct	loglikelihood	all	4	4	cuda	bfloat16	6540	6540	0.000e+00	329	PASS
mistralai/Mistral-7B-v0.3	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	280	PASS
unsloth/Meta-Llama-3.1-8B	boolq	direct	loglikelihood	all	16	16	cuda	bfloat16	6540	6540	0.000e+00	311	PASS
EleutherAI/pythia-160m	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	494	PASS
HuggingFaceTB/SmolLM2-135M	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	733	PASS
HuggingFaceTB/SmolLM3-3B	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	956	PASS
Qwen/Qwen2.5-0.5B	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	1318	PASS
Qwen/Qwen3-0.6B	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	852	PASS
allenai/OLMo-2-0425-1B	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	584	PASS
hf-internal-testing/tiny-random-CohereForCausalLM	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	223	PASS
hf-internal-testing/tiny-random-MistralForCausalLM	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	224	PASS
microsoft/Phi-3-mini-4k-instruct	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	1319	PASS
unsloth/gemma-2-2b	gsm8k	direct	generate	200	1	auto	cuda	bfloat16	400	400	n/a	1022	PASS
EleutherAI/pythia-160m	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	498	PASS
HuggingFaceTB/SmolLM2-135M	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	1189	PASS
HuggingFaceTB/SmolLM3-3B	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	2669	PASS
Qwen/Qwen2.5-0.5B	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	1353	PASS
Qwen/Qwen3-0.6B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	1644	PASS
Qwen/Qwen3-0.6B	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	1644	PASS
Qwen/Qwen3-1.7B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	1886	PASS
Qwen/Qwen3-4B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	2842	PASS
Qwen/Qwen3-8B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	3367	PASS
allenai/OLMo-2-0425-1B	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	1171	PASS
allenai/OLMo-2-1124-7B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	2749	PASS
hf-internal-testing/tiny-random-CohereForCausalLM	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	322	PASS
hf-internal-testing/tiny-random-MistralForCausalLM	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	231	PASS
microsoft/Phi-3-mini-4k-instruct	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	2322	PASS
mistralai/Mistral-7B-v0.3	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	2331	PASS
unsloth/Meta-Llama-3.1-8B	hellaswag	direct	loglikelihood	all	16	16	cuda	bfloat16	40168	40168	0.000e+00	2815	PASS
unsloth/gemma-2-2b	hellaswag	direct	loglikelihood	all	64	auto	cuda	bfloat16	40168	40168	0.000e+00	2750	PASS
EleutherAI/pythia-160m	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	35	PASS
HuggingFaceTB/SmolLM2-135M	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	44	PASS
HuggingFaceTB/SmolLM3-3B	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	69	PASS
Qwen/Qwen2.5-0.5B	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	43	PASS
Qwen/Qwen3-0.6B	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	47	PASS
allenai/OLMo-2-0425-1B	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	50	PASS
hf-internal-testing/tiny-random-CohereForCausalLM	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	33	PASS
hf-internal-testing/tiny-random-MistralForCausalLM	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	35	PASS
microsoft/Phi-3-mini-4k-instruct	mmlu_high_school_psychology	direct	loglikelihood	all	64	auto	cuda	bfloat16	2180	2180	0.000e+00	75	PASS
unsloth/gemma-2-2b	mmlu_high_school_psychology	direct	loglikelihood	all	32	auto	cuda	bfloat16	2180	2180	0.000e+00	87	PASS
Qwen/Qwen3-0.6B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	182	PASS
Qwen/Qwen3-1.7B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	197	PASS
Qwen/Qwen3-4B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	280	PASS
Qwen/Qwen3-8B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	310	PASS
allenai/OLMo-2-1124-7B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	305	PASS
mistralai/Mistral-7B-v0.3	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	255	PASS
unsloth/Meta-Llama-3.1-8B	piqa	direct	loglikelihood	all	16	16	cuda	bfloat16	3676	3676	0.000e+00	265	PASS
EleutherAI/pythia-160m	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	63	PASS
HuggingFaceTB/SmolLM2-135M	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	197	PASS
HuggingFaceTB/SmolLM3-3B	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	189	PASS
Qwen/Qwen2.5-0.5B	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	322	PASS
Qwen/Qwen3-0.6B	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	411	PASS
allenai/OLMo-2-0425-1B	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	141	PASS
hf-internal-testing/tiny-random-CohereForCausalLM	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	233	PASS
hf-internal-testing/tiny-random-MistralForCausalLM	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	148	PASS
microsoft/Phi-3-mini-4k-instruct	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	225	PASS
unsloth/gemma-2-2b	triviaqa	direct	generate	200	1	auto	cuda	bfloat16	200	200	n/a	200	PASS
Qwen/Qwen3-0.6B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	89	PASS
Qwen/Qwen3-1.7B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	93	PASS
Qwen/Qwen3-4B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	122	PASS
Qwen/Qwen3-8B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	154	PASS
allenai/OLMo-2-1124-7B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	175	PASS
mistralai/Mistral-7B-v0.3	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	146	PASS
unsloth/Meta-Llama-3.1-8B	winogrande	direct	loglikelihood	all	16	16	cuda	bfloat16	2534	2534	0.000e+00	153	PASS
